Name,Nationality,nationality_match_source,Nationality_bucket,Transfer_fee_in_mln,log_transfer_fee,fee_minus_value,Market_value_in_mln,potential,market_value_per_potential,position_bucket,league_country_to,nationality_matches_league_to,League_to,age_bucket,is_top_club_to,is_top_league,high_overall
Adama Traoré,Ivory Coast,fallback_lastname_season,Top 16-30,10.0,2.3978952727983707,5.0,5.0,75.0,0.06666666666666667,Winger,England,False,Premier League,<20,False,True,False
Santi Mina,Spain,fallback_lastname_season,Top 1-15,10.0,2.3978952727983707,6.0,4.0,79.0,0.05063291139240506,Forward,Spain,True,LaLiga,<20,True,True,False
Robbie Brady,Republic of Ireland,fallback_team_from,Top 16-30,9.9,2.388762789235098,7.9,2.0,77.0,0.025974025974025976,Midfielder,England,False,Premier League,20-23,False,True,False
Matija Nastasic,Serbia,fallback_lastname_season,Top 1-15,9.5,2.3513752571634776,-4.5,14.0,82.0,0.17073170731707318,Defender,Germany,False,1.Bundesliga,20-23,False,True,True
Kevin Trapp,Germany,fallback_lastname_season,Top 1-15,9.5,2.3513752571634776,1.5,8.0,84.0,0.09523809523809523,Goalkeeper,France,False,Ligue 1,24-26,True,True,True
Aderllan Santos,Mexico,fallback_lastname_season,Top 1-15,9.5,2.3513752571634776,2.0,7.5,79.0,0.0949367088607595,Defender,Spain,False,LaLiga,24-26,True,True,False
Aderllan Santos,Mexico,fallback_lastname_season,Top 1-15,9.5,2.3513752571634776,2.0,7.5,73.0,0.10273972602739725,Defender,Spain,False,LaLiga,24-26,True,True,False
Alberto Paloschi,Italy,fallback_team_from,Top 1-15,9.5,2.3513752571634776,3.5,6.0,81.0,0.07407407407407407,Forward,England,False,Premier League,24-26,False,True,False
Michail Antonio,England,fallback_lastname_season,Top 1-15,9.5,2.3513752571634776,7.0,2.5,75.0,0.03333333333333333,Winger,England,True,Premier League,24-26,True,True,False
Mapou Yanga-Mbiwa,,unresolved,Outside Top 45,9.4,2.341805806147327,2.9000000000000004,6.5,81.0,0.08024691358024691,Defender,France,,Ligue 1,24-26,False,True,True
Derlis González,Spain,fallback_lastname_season,Top 1-15,9.4,2.341805806147327,5.65,3.75,81.0,0.046296296296296294,Winger,Ukraine,False,Premier Liga,20-23,False,True,False
Lewis Grabban,England,fallback_lastname_season,Top 1-15,9.35,2.336986519711378,6.35,3.0,72.0,0.041666666666666664,Forward,England,True,Premier League,27-29,False,True,False
Idrissa Gueye,Senegal,fallback_team_from,Top 16-30,9.0,2.302585092994046,1.5,7.5,83.0,0.09036144578313253,Midfielder,England,False,Premier League,24-26,False,True,True
N'Golo Kanté,France,fallback_lastname_season,Top 1-15,9.0,2.302585092994046,4.5,4.5,76.0,0.05921052631578947,Midfielder,England,False,Premier League,20-23,True,True,False
Guido Carrillo,Peru,fallback_lastname_season,Top 16-30,9.0,2.302585092994046,5.8,3.2,75.0,0.04266666666666667,Forward,France,False,Ligue 1,20-23,True,True,False
Étienne Capoue,France,fallback_lastname_season,Top 1-15,8.9,2.2925347571405443,1.4000000000000004,7.5,83.0,0.09036144578313253,Midfielder,England,False,Premier League,24-26,True,True,True
Jürgen Damm,Mexico,fallback_lastname_season,Top 1-15,8.85,2.2874714551839976,7.6499999999999995,1.2,77.0,0.015584415584415584,Winger,Mexico,True,Liga MX Clausura,20-23,False,False,False
José Manuel Jurado,Spain,fallback_team_from,Top 1-15,8.6,2.2617630984737906,1.5999999999999996,7.0,75.0,0.09333333333333334,Midfielder,England,False,Premier League,27-29,True,True,False
Benjamin Stambouli,France,fallback_lastname_season,Top 1-15,8.6,2.2617630984737906,3.5999999999999996,5.0,80.0,0.0625,Defender,France,True,Ligue 1,20-23,True,True,True
Andrea Bertolacci,Italy,fallback_team_from,Top 1-15,8.5,2.2512917986064953,-6.5,15.0,78.0,0.19230769230769232,Midfielder,Italy,True,Serie A,20-23,True,True,False
Mattia Destro,Italy,fallback_lastname_season,Top 1-15,8.5,2.2512917986064953,-4.5,13.0,83.0,0.1566265060240964,Forward,Italy,True,Serie A,20-23,False,True,True
Rudy Gestede,Benin,fallback_lastname_season,Top 31-45,8.5,2.2512917986064953,5.0,3.5,71.0,0.04929577464788732,Forward,England,False,Premier League,24-26,False,True,False
,Morocco,fallback_team_from,Top 31-45,8.4,2.2407096892759584,2.4000000000000004,6.0,79.0,0.0759493670886076,Winger,England,False,Premier League,27-29,True,True,True
Andrea Belotti,Italy,fallback_lastname_season,Top 1-15,8.4,2.2407096892759584,3.4000000000000004,5.0,80.0,0.0625,Forward,Italy,True,Serie A,20-23,False,True,False
Danny Ings,England,fallback_team_from,Top 1-15,8.3,2.2300144001592104,-3.6999999999999993,12.0,79.0,0.1518987341772152,Forward,England,True,Premier League,20-23,True,True,False
Jonny Evans,Northern Ireland,fallback_lastname_season,Outside Top 45,8.3,2.2300144001592104,2.3000000000000007,6.0,82.0,0.07317073170731707,Defender,England,False,Premier League,24-26,False,True,True
Obbi Oulare,Belgium,fallback_lastname_season,Top 1-15,8.23,2.222459048514761,3.2300000000000004,5.0,68.0,0.07352941176470588,Forward,England,False,Premier League,<20,True,True,False
Bradley Johnson,England,fallback_lastname_season,Top 1-15,8.1,2.2082744135228043,4.1,4.0,74.0,0.05405405405405406,Midfielder,England,True,Championship,27-29,False,True,False
,Spain,fallback_team_from,Top 1-15,8.0,2.1972245773362196,-7.0,15.0,79.0,0.189873417721519,Midfielder,Spain,True,LaLiga,27-29,False,True,True
,Spain,fallback_team_from,Top 1-15,8.0,2.1972245773362196,-7.0,15.0,61.0,0.2459016393442623,Midfielder,Spain,True,LaLiga,27-29,False,True,False
Thorgan Hazard,Belgium,fallback_team_from,Top 1-15,8.0,2.1972245773362196,-2.0,10.0,90.0,0.1111111111111111,Winger,Germany,False,1.Bundesliga,20-23,False,True,True
