Position,Age,Team_from,League_from,Team_to,League_to,Season_transferred,Transfer_fee_in_mln,Market_value_in_mln,Lastname,club,overall,potential,Season,Name,Nationality,nationality_match_source,log_transfer_fee,fee_minus_value,market_value_per_potential,Nationality_bucket,league_median_fee_to,team_to_median_fee,age_bucket,position_bucket,league_country_to,nationality_matches_league_to,high_overall,is_top_club_to,is_top_league
Central Midfield,23,Atalanta,Serie A,Inter,Serie A,2017,20.0,20.0,Gagliardini,Atalanta,61.0,68.0,2017.0,Roberto Gagliardini,Italy,fallback_team_from,3.044522437723423,0.0,0.29411764705882354,Top 1-15,11.0,17.5,20-23,Midfielder,Italy,True,False,True,True
Central Midfield,26,Bay. Leverkusen,1.Bundesliga,RB Leipzig,1.Bundesliga,2017,20.0,15.0,Kampl,Bay. Leverkusen,80.0,82.0,2017.0,Kevin Kampl,Slovenia,fallback_lastname_season,3.044522437723423,5.0,0.18292682926829268,Top 31-45,12.0,15.2,24-26,Midfielder,Germany,False,True,False,True
Left Winger,23,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017,20.0,15.0,Philipp,SC Freiburg,74.0,79.0,2017.0,Maximilian Philipp,Germany,fallback_team_from,3.044522437723423,5.0,0.189873417721519,Top 1-15,12.0,16.0,20-23,Winger,Germany,True,False,False,True
Attacking Midfield,22,Atletico Madrid,LaLiga,FC Porto,Liga NOS,2017,20.0,14.0,Torres,Atletico Madrid,81.0,81.0,2017.0,,Spain,fallback_team_from,3.044522437723423,6.0,0.1728395061728395,Top 1-15,9.64,9.25,20-23,Midfielder,Portugal,False,True,False,True
Left-Back,23,AS Roma,Serie A,Chelsea,Premier League,2017,20.0,14.0,Emerson,AS Roma,69.0,77.0,2017.0,Emerson,Brazil,fallback_lastname_season,3.044522437723423,6.0,0.18181818181818182,Top 1-15,15.1,31.0,20-23,Defender,England,False,False,True,True
Left-Back,23,OGC Nice,Ligue 1,Inter,Serie A,2017,20.0,5.0,Dalbert,OGC Nice,76.0,84.0,2017.0,Dalbert,Brazil,fallback_team_from,3.044522437723423,15.0,0.05952380952380952,Top 1-15,11.0,17.5,20-23,Defender,Italy,False,True,True,True
Centre-Back,24,Spurs,Premier League,Stoke City,Premier League,2017,19.4,7.0,Wimmer,Spurs,79.0,84.0,2017.0,Kevin Wimmer,Austria,fallback_lastname_season,3.0155349008501706,12.399999999999999,0.08333333333333333,Top 31-45,15.1,9.6,20-23,Defender,England,False,True,False,True
Centre-Back,26,Villarreal CF,LaLiga,AC Milan,Serie A,2017,18.0,18.0,Musacchio,Villarreal CF,83.0,87.0,2017.0,Mateo Musacchio,Argentina,fallback_team_from,2.9444389791664403,0.0,0.20689655172413793,Top 1-15,11.0,19.0,24-26,Defender,Italy,False,True,True,True
Defensive Midfield,20,FC Porto,Liga NOS,Wolves,Championship,2017,17.9,10.0,Neves,FC Porto,75.0,85.0,2017.0,Rúben Neves,Portugal,fallback_team_from,2.9391619220655967,7.899999999999999,0.11764705882352941,Top 1-15,9.13,11.7,<20,Midfielder,England,False,False,False,True
Centre-Back,19,Olympiacos,Super League,Bay. Leverkusen,1.Bundesliga,2017,17.5,5.0,Retsos,Olympiacos,67.0,80.0,2017.0,Panagiotis Retsos,Greece,fallback_lastname_season,2.917770732084279,12.5,0.0625,Top 31-45,12.0,13.0,<20,Defender,Germany,False,False,False,True
Forward,24,Nottm Forest,Championship,Middlesbrough,Championship,2017,17.1,5.0,Assombalonga,Nottm Forest,72.0,80.0,2017.0,Britt Assombalonga,DR Congo,fallback_lastname_season,2.89591193827178,12.100000000000001,0.0625,Top 16-30,9.13,8.0,20-23,Forward,England,False,False,False,True
Defensive Midfield,31,Lazio,Serie A,AC Milan,Serie A,2017,17.0,20.0,Biglia,Lazio,82.0,82.0,2017.0,Lucas Biglia,Argentina,fallback_team_from,2.8903717578961645,-3.0,0.24390243902439024,Top 1-15,11.0,19.0,30+,Midfielder,Italy,False,True,True,True
