Position,Age,Team_from,League_from,Team_to,League_to,Season_transferred,Transfer_fee_in_mln,Market_value_in_mln,Lastname,club,overall,potential,Season,Name,Nationality,nationality_match_source,log_transfer_fee,fee_minus_value,market_value_per_potential,Nationality_bucket,league_median_fee_to,team_to_median_fee,age_bucket,position_bucket,league_country_to,nationality_matches_league_to,high_overall,is_top_club_to,is_top_league
Forward,30,Paris SG,Ligue 1,HB CFFC,Super League,2015,5.5,9.0,Lavezzi,Paris SG,82.0,82.0,2015.0,Ezequiel Lavezzi,Argentina,fallback_lastname_season,1.8718021769015913,-3.5,0.10975609756097561,Top 1-15,13.5,11.75,27-29,Forward,China,False,True,False,True
Central Midfield,23,Juventus,Serie A,Man Utd,Premier League,2016,105.0,70.0,Pogba,Juventus,86.0,92.0,2016.0,Paul Pogba,France,fallback_team_from,4.663439094112067,35.0,0.7608695652173914,Top 1-15,15.1,40.0,20-23,Midfielder,England,False,True,True,True
Forward,28,SSC Napoli,Serie A,Juventus,Serie A,2016,90.0,65.0,Higuain,SSC Napoli,84.0,86.0,2016.0,Gonzalo Higuaín,Argentina,fallback_lastname_season,4.51085950651685,25.0,0.7558139534883721,Top 1-15,11.0,19.0,27-29,Forward,Italy,False,True,True,True
Attacking Midfield,25,Chelsea,Premier League,SIPG,Super League,2016,60.0,35.0,Oscar,Chelsea,84.0,88.0,2016.0,Oscar,Brazil,fallback_team_from,4.110873864173311,25.0,0.3977272727272727,Top 1-15,13.5,55.8,24-26,Midfielder,China,False,True,False,True
Right Winger,29,Zenit S-Pb,Premier Liga,SIPG,Super League,2016,55.8,32.0,Hulk,Zenit S-Pb,84.0,84.0,2016.0,Hulk,Brazil,fallback_lastname_season,4.039536325727106,23.799999999999997,0.38095238095238093,Top 1-15,13.5,55.8,27-29,Winger,China,False,True,False,True
Centre-Back,22,Everton,Premier League,Man City,Premier League,2016,55.6,28.0,Stones,Everton,77.0,87.0,2016.0,John Stones,England,fallback_team_from,4.036008985209137,27.6,0.3218390804597701,Top 1-15,15.1,50.0,20-23,Defender,England,True,True,True,True
Left Winger,20,FC Schalke 04,1.Bundesliga,Man City,Premier League,2016,50.5,30.0,Sane,FC Schalke 04,79.0,80.0,2016.0,Leroy Sané,Germany,fallback_team_from,3.9415818076696905,20.5,0.375,Top 1-15,15.1,50.0,<20,Winger,England,False,True,True,True
Left Winger,20,FC Schalke 04,1.Bundesliga,Man City,Premier League,2016,50.5,30.0,Sane,FC Schalke 04,70.0,83.0,2016.0,Leroy Sané,Germany,fallback_team_from,3.9415818076696905,20.5,0.3614457831325301,Top 1-15,15.1,50.0,<20,Winger,England,False,False,True,True
Attacking Midfield,27,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,2016,42.0,30.0,Mkhitaryan,Bor. Dortmund,81.0,83.0,2016.0,Henrikh Mkhitaryan,Armenia,fallback_lastname_season,3.7612001156935624,12.0,0.3614457831325301,Outside Top 45,15.1,40.0,24-26,Midfielder,England,False,True,True,True
Left Winger,24,Southampton,Premier League,Liverpool,Premier League,2016,41.2,20.0,Mane,Southampton,78.0,84.0,2016.0,Sadio Mané,Senegal,fallback_team_from,3.742420221041966,21.200000000000003,0.23809523809523808,Top 16-30,15.1,41.0,20-23,Winger,England,False,True,True,True
Centre-Back,24,Valencia CF,LaLiga,Arsenal,Premier League,2016,41.0,20.0,Mustafi,Valencia CF,82.0,87.0,2016.0,Shkodran Mustafi,Germany,fallback_team_from,3.7376696182833684,21.0,0.22988505747126436,Top 1-15,15.1,25.0,20-23,Defender,England,False,True,False,True
Attacking Midfield,23,Sporting CP,Liga NOS,Inter,Serie A,2016,40.0,30.0,Mario,Sporting CP,78.0,85.0,2016.0,João Mário,Portugal,fallback_team_from,3.713572066704308,10.0,0.35294117647058826,Top 1-15,11.0,17.5,20-23,Midfielder,Italy,False,True,True,True
Forward,22,Marseille,Ligue 1,Chelsea,Premier League,2016,39.0,15.0,Batshuayi,Marseille,78.0,83.0,2016.0,Michy Batshuayi,Belgium,fallback_lastname_season,3.6888794541139363,24.0,0.18072289156626506,Top 1-15,15.1,31.0,20-23,Forward,England,False,True,True,True
Centre-Back,22,Villarreal CF,LaLiga,Man Utd,Premier League,2016,38.0,8.0,Bailly,Villarreal CF,73.0,83.0,2016.0,Eric Bailly,Ivory Coast,fallback_team_from,3.6635616461296463,30.0,0.0963855421686747,Top 16-30,15.1,40.0,20-23,Defender,England,False,False,True,True
Central Midfield,22,Valencia CF,LaLiga,FC Barcelona,LaLiga,2016,37.0,30.0,Gomes,Valencia CF,80.0,87.0,2016.0,André Gomes,Portugal,fallback_team_from,3.6375861597263857,7.0,0.3448275862068966,Top 1-15,13.75,32.285,20-23,Midfielder,Spain,False,True,False,True
Defensive Midfield,25,Leicester,Premier League,Chelsea,Premier League,2016,35.8,20.0,Kante,Leicester,76.0,82.0,2016.0,N'Golo Kanté,France,fallback_lastname_season,3.6054978451748854,15.799999999999997,0.24390243902439024,Top 1-15,15.1,31.0,24-26,Midfielder,England,False,True,True,True
Centre-Back,27,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,2016,35.0,32.0,Hummels,Bor. Dortmund,86.0,88.0,2016.0,Mats Hummels,Germany,fallback_lastname_season,3.58351893845611,3.0,0.36363636363636365,Top 1-15,12.0,30.0,24-26,Defender,Germany,True,True,False,True
Centre-Back,29,Paris SG,Ligue 1,Chelsea,Premier League,2016,35.0,28.0,Luiz,Paris SG,83.0,84.0,2016.0,David Luiz,Brazil,fallback_lastname_season,3.58351893845611,7.0,0.3333333333333333,Top 1-15,15.1,31.0,27-29,Defender,England,False,True,True,True
Central Midfield,27,Newcastle,Championship,Spurs,Premier League,2016,35.0,13.0,Sissoko,Newcastle,78.0,82.0,2016.0,Moussa Sissoko,France,fallback_lastname_season,3.58351893845611,22.0,0.15853658536585366,Top 1-15,15.1,22.1,24-26,Midfielder,England,False,True,False,True
Central Midfield,26,AS Roma,Serie A,Juventus,Serie A,2016,32.0,35.0,Pjanic,AS Roma,84.0,86.0,2016.0,Miralem Pjanic,Bosnia Herzegovina,fallback_lastname_season,3.4965075614664802,-3.0,0.4069767441860465,Top 31-45,11.0,19.0,24-26,Midfielder,Italy,False,True,True,True
Forward,22,AFC Ajax,Eredivisie,SSC Napoli,Serie A,2016,32.0,12.0,Milik,AFC Ajax,77.0,84.0,2016.0,Arkadiusz Milik,Poland,fallback_lastname_season,3.4965075614664802,20.0,0.14285714285714285,Top 16-30,11.0,13.0,20-23,Forward,Italy,False,True,False,True
Forward,25,Liverpool,Premier League,Crystal Palace,Premier League,2016,31.2,27.0,Benteke,Liverpool,82.0,86.0,2016.0,Christian Benteke,Belgium,fallback_team_from,3.4719664525503626,4.199999999999999,0.313953488372093,Top 1-15,15.1,13.8,24-26,Forward,England,False,True,False,True
Forward,28,Sporting CP,Liga NOS,Leicester,Premier League,2016,30.5,22.0,Slimani,Sporting CP,78.0,80.0,2016.0,Islam Slimani,Algeria,fallback_team_from,3.449987545831587,8.5,0.275,Top 16-30,15.1,16.55,27-29,Forward,England,False,True,True,True
Forward,23,Juventus,Serie A,Real Madrid,LaLiga,2016,30.0,30.0,Morata,Juventus,81.0,88.0,2016.0,Álvaro Morata,Spain,fallback_team_from,3.4339872044851463,0.0,0.3409090909090909,Top 1-15,13.75,30.0,20-23,Forward,Spain,True,True,False,True
Forward,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,2016,30.0,25.0,Alcacer,Valencia CF,80.0,88.0,2016.0,Paco Alcácer,Spain,fallback_team_from,3.4339872044851463,5.0,0.2840909090909091,Top 1-15,13.75,32.285,20-23,Forward,Spain,True,True,False,True
Forward,29,Sevilla FC,LaLiga,Atletico Madrid,LaLiga,2016,30.0,20.0,Gameiro,Sevilla FC,79.0,79.0,2016.0,,France,fallback_team_from,3.4339872044851463,10.0,0.25316455696202533,Top 1-15,13.75,25.0,27-29,Forward,Spain,False,True,True,True
Left Winger,25,VfL Wolfsburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016,30.0,18.0,Schurrle,VfL Wolfsburg,80.0,83.0,2016.0,André Schürrle,Germany,fallback_team_from,3.4339872044851463,12.0,0.21686746987951808,Top 1-15,12.0,16.0,24-26,Winger,Germany,True,True,False,True
Left Winger,20,Benfica,Liga NOS,Paris SG,Ligue 1,2016,30.0,9.0,Guedes,Benfica,70.0,88.0,2016.0,Gonçalo Guedes,Portugal,fallback_lastname_season,3.4339872044851463,21.0,0.10227272727272728,Top 1-15,10.0,25.0,<20,Winger,France,False,False,True,True
Attacking Midfield,29,West Ham,Premier League,Marseille,Ligue 1,2016,29.3,30.0,Payet,West Ham,81.0,81.0,2016.0,Dimitri Payet,France,fallback_lastname_season,3.4111477125153233,-0.6999999999999993,0.37037037037037035,Top 1-15,10.0,9.5,27-29,Midfielder,France,True,True,False,True
Left Winger,27,Crystal Palace,Premier League,Everton,Premier League,2016,28.9,14.0,Bolasie,Crystal Palace,76.0,78.0,2016.0,Yannick Bolasie,DR Congo,fallback_team_from,3.3978584803966405,14.899999999999999,0.1794871794871795,Top 16-30,15.1,21.35,24-26,Winger,England,False,True,True,True
Defensive Midfield,26,Sevilla FC,LaLiga,Paris SG,Ligue 1,2016,27.5,30.0,Krychowiak,Sevilla FC,82.0,86.0,2016.0,Grzegorz Krychowiak,Poland,fallback_team_from,3.349904087274605,-2.5,0.3488372093023256,Top 16-30,10.0,25.0,24-26,Midfielder,France,False,True,True,True
Central Midfield,25,Newcastle,Championship,Liverpool,Premier League,2016,27.5,20.0,Wijnaldum,Newcastle,80.0,84.0,2016.0,Georginio Wijnaldum,Netherlands,fallback_lastname_season,3.349904087274605,7.5,0.23809523809523808,Top 1-15,15.1,41.0,24-26,Midfielder,England,False,True,True,True
Central Midfield,25,Bor. Dortmund,1.Bundesliga,Man City,Premier League,2016,27.0,30.0,Gundogan,Bor. Dortmund,82.0,86.0,2016.0,Ilkay Gündogan,Germany,fallback_lastname_season,3.332204510175204,-3.0,0.3488372093023256,Top 1-15,15.1,50.0,24-26,Midfielder,England,False,True,True,True
Left Winger,28,Benfica,Liga NOS,Atletico Madrid,LaLiga,2016,25.0,30.0,Gaitan,Benfica,83.0,84.0,2016.0,,Argentina,fallback_lastname_season,3.258096538021482,-5.0,0.35714285714285715,Top 1-15,13.75,25.0,27-29,Winger,Spain,False,True,True,True
Centre-Back,22,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,2016,25.0,15.0,Umtiti,Olympique Lyon,79.0,85.0,2016.0,Samuel Umtiti,France,fallback_lastname_season,3.258096538021482,10.0,0.17647058823529413,Top 1-15,13.75,32.285,20-23,Defender,Spain,False,True,False,True
Left Winger,23,Real Madrid,LaLiga,Paris SG,Ligue 1,2016,25.0,14.0,Jese,Real Madrid,78.0,85.0,2016.0,Jesé,Spain,fallback_team_from,3.258096538021482,11.0,0.16470588235294117,Top 1-15,10.0,25.0,20-23,Winger,France,False,True,True,True
Left Winger,26,Swansea,Premier League,West Ham,Premier League,2016,24.1,18.0,Ayew,Swansea,79.0,82.0,2016.0,André Ayew,Ghana,fallback_lastname_season,3.2228678461377385,6.100000000000001,0.21951219512195122,Top 16-30,15.1,11.5,24-26,Winger,England,False,True,True,True
Centre-Back,29,Zenit S-Pb,Premier Liga,Valencia CF,LaLiga,2016,24.0,20.0,Garay,Zenit S-Pb,83.0,84.0,2016.0,Ezequiel Garay,Argentina,fallback_lastname_season,3.2188758248682006,4.0,0.23809523809523808,Top 1-15,13.75,14.5,27-29,Defender,Spain,False,True,True,True
Forward,27,Watford,Premier League,CC Yatai,Super League,2016,23.3,12.0,Ighalo,Watford,72.0,75.0,2016.0,Odion Ighalo,Nigeria,fallback_team_from,3.190476350346503,11.3,0.16,Top 16-30,13.5,23.3,24-26,Forward,China,False,False,False,True
Left-Back,25,Fiorentina,Serie A,Chelsea,Premier League,2016,23.0,9.0,Alonso,Fiorentina,75.0,78.0,2016.0,Marcos Alonso,Spain,fallback_team_from,3.1780538303479458,14.0,0.11538461538461539,Top 1-15,15.1,31.0,24-26,Defender,England,False,False,True,True
Defensive Midfield,27,Man Utd,Premier League,Everton,Premier League,2016,22.9,28.0,Schneiderlin,Man Utd,82.0,85.0,2016.0,Morgan Schneiderlin,France,fallback_lastname_season,3.173878458937465,-5.100000000000001,0.32941176470588235,Top 1-15,15.1,21.35,24-26,Midfielder,England,False,True,True,True
Forward,19,FC Basel,Super League,FC Schalke 04,1.Bundesliga,2016,22.5,20.0,Embolo,FC Basel,76.0,88.0,2016.0,Breel Embolo,Switzerland,fallback_lastname_season,3.1570004211501135,2.5,0.22727272727272727,Top 1-15,12.0,10.0,<20,Forward,Germany,False,True,False,True
Forward,22,AZ Alkmaar,Eredivisie,Spurs,Premier League,2016,22.1,6.0,Janssen,AZ Alkmaar,69.0,75.0,2016.0,Vincent Janssen,Netherlands,fallback_team_from,3.139832617527748,16.1,0.08,Top 1-15,15.1,22.1,20-23,Forward,England,False,False,False,True
Right Winger,29,Lazio,Serie A,Inter,Serie A,2016,22.0,23.0,Candreva,Lazio,83.0,83.0,2016.0,Antonio Candreva,Italy,fallback_team_from,3.1354942159291497,-1.0,0.27710843373493976,Top 1-15,11.0,17.5,27-29,Winger,Italy,True,True,True,True
Central Midfield,27,Zenit S-Pb,Premier Liga,TJ Quanjian,Super League,2016,20.0,20.0,Witsel,Zenit S-Pb,81.0,84.0,2016.0,Axel Witsel,Belgium,fallback_lastname_season,3.044522437723423,0.0,0.23809523809523808,Top 1-15,13.5,20.0,24-26,Midfielder,China,False,True,False,True
Forward,23,TSG Hoffenheim,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2016,20.0,17.0,Volland,TSG Hoffenheim,80.0,85.0,2016.0,Kevin Volland,Germany,fallback_lastname_season,3.044522437723423,3.0,0.2,Top 1-15,12.0,13.0,20-23,Forward,Germany,True,True,False,True
Central Midfield,22,FC Lorient,Rel. Ligue 1,Sunderland,Premier League,2016,20.0,5.0,Ndong,FC Lorient,67.0,74.0,2016.0,Didier Ndong,Gabon,fallback_team_from,3.044522437723423,15.0,0.06756756756756757,Top 31-45,15.1,10.6,20-23,Midfielder,England,False,False,False,True
Forward,23,CSKA Moscow,Premier Liga,Leicester,Premier League,2016,19.5,18.0,Musa,CSKA Moscow,76.0,82.0,2016.0,Ahmed Musa,Nigeria,fallback_lastname_season,3.0204248861443626,1.5,0.21951219512195122,Top 16-30,15.1,16.55,20-23,Forward,England,False,True,True,True
Attacking Midfield,22,LOSC Lille,Ligue 1,Southampton,Premier League,2016,18.7,13.0,Boufal,LOSC Lille,78.0,85.0,2016.0,Sofiane Boufal,Morocco,fallback_team_from,2.9806186357439426,5.699999999999999,0.15294117647058825,Top 31-45,15.1,16.4,20-23,Midfielder,England,False,True,False,True
Left Winger,21,Sampdoria,Serie A,Sevilla FC,LaLiga,2016,18.2,6.5,Correa,Sampdoria,71.0,79.0,2016.0,Joaquín Correa,Argentina,fallback_team_from,2.954910279033736,11.7,0.08227848101265822,Top 1-15,13.75,8.35,20-23,Winger,Spain,False,False,True,True
Goalkeeper,33,FC Barcelona,LaLiga,Man City,Premier League,2016,18.0,15.0,Bravo,FC Barcelona,83.0,83.0,2016.0,Claudio Bravo,Chile,fallback_team_from,2.9444389791664403,3.0,0.18072289156626506,Top 16-30,15.1,50.0,30+,Goalkeeper,England,False,True,True,True
Left Winger,29,Celta de Vigo,LaLiga,Man City,Premier League,2016,18.0,15.0,Nolito,Celta de Vigo,82.0,82.0,2016.0,Nolito,Spain,fallback_lastname_season,2.9444389791664403,3.0,0.18292682926829268,Top 1-15,15.1,50.0,27-29,Winger,England,False,True,True,True
Forward,28,Genoa,Serie A,SSC Napoli,Serie A,2016,18.0,13.0,Pavoletti,Genoa,71.0,74.0,2016.0,Leonardo Pavoletti,Italy,fallback_team_from,2.9444389791664403,5.0,0.17567567567567569,Top 1-15,11.0,13.0,27-29,Forward,Italy,True,False,False,True
Right Winger,20,Liverpool,Premier League,Bournemouth,Premier League,2016,18.0,7.0,Ibe,Liverpool,71.0,81.0,2016.0,Jordon Ibe,England,fallback_team_from,2.9444389791664403,11.0,0.08641975308641975,Top 1-15,15.1,11.3,<20,Winger,England,True,False,False,True
Defensive Midfield,20,KRC Genk,Jupiler Pro League,Leicester,Premier League,2016,17.6,8.0,Ndidi,KRC Genk,60.0,76.0,2016.0,Wilfred Ndidi,Nigeria,fallback_team_from,2.9231615807191558,9.600000000000001,0.10526315789473684,Top 16-30,15.1,16.55,<20,Midfielder,England,False,False,True,True
Forward,25,SSC Napoli,Serie A,Southampton,Premier League,2016,17.0,15.0,Gabbiadini,SSC Napoli,78.0,84.0,2016.0,Manolo Gabbiadini,Italy,fallback_lastname_season,2.8903717578961645,2.0,0.17857142857142858,Top 1-15,15.1,16.4,24-26,Forward,England,False,True,False,True
Attacking Midfield,27,US Palermo,Serie A,Sevilla FC,LaLiga,2016,16.8,15.0,Vazquez,US Palermo,79.0,82.0,2016.0,Franco Vázquez,Italy,fallback_lastname_season,2.8791984572980396,1.8000000000000007,0.18292682926829268,Top 1-15,13.75,8.35,24-26,Midfielder,Spain,False,True,True,True
Left Winger,22,Man Utd,Premier League,Olympique Lyon,Ligue 1,2016,16.0,25.0,Depay,Man Utd,81.0,89.0,2016.0,Memphis Depay,Netherlands,fallback_lastname_season,2.833213344056216,-9.0,0.2808988764044944,Top 1-15,10.0,8.25,20-23,Winger,France,False,True,False,True
Right-Back,24,Sassuolo,Serie A,Atletico Madrid,LaLiga,2016,16.0,13.0,Vrsaljko,Sassuolo,75.0,81.0,2016.0,,Croatia,fallback_team_from,2.833213344056216,3.0,0.16049382716049382,Top 16-30,13.75,25.0,20-23,Defender,Spain,False,False,True,True
Central Midfield,26,Liverpool,Premier League,Stoke City,Premier League,2016,15.5,8.0,Allen,Liverpool,77.0,80.0,2016.0,Joe Allen,Wales,fallback_team_from,2.803360380906535,7.5,0.1,Top 16-30,15.1,9.6,24-26,Midfielder,England,False,True,False,True
Defensive Midfield,24,OGC Nice,Ligue 1,Leicester,Premier League,2016,15.5,7.5,Mendy,OGC Nice,74.0,81.0,2016.0,Nampalys Mendy,France,fallback_team_from,2.803360380906535,8.0,0.09259259259259259,Top 1-15,15.1,16.55,20-23,Midfielder,England,False,False,True,True
Defensive Midfield,24,OGC Nice,Ligue 1,Leicester,Premier League,2016,15.5,7.5,Mendy,OGC Nice,61.0,71.0,2016.0,Nampalys Mendy,France,fallback_team_from,2.803360380906535,8.0,0.1056338028169014,Top 1-15,15.1,16.55,20-23,Midfielder,England,False,False,True,True
Central Midfield,25,Spurs,Premier League,Hull City,Premier League,2016,15.4,7.5,Mason,Spurs,75.0,80.0,2016.0,Ryan Mason,England,fallback_lastname_season,2.797281334830153,7.9,0.09375,Top 1-15,15.1,12.2,24-26,Midfielder,England,True,False,False,True
Forward,31,Southampton,Premier League,SD Luneng,Super League,2016,15.25,11.0,Pelle,Southampton,77.0,77.0,2016.0,Graziano Pellè,Italy,fallback_team_from,2.7880929087757464,4.25,0.14285714285714285,Top 1-15,13.5,15.25,30+,Forward,China,False,True,False,True
Left Winger,27,Spurs,Premier League,West Brom,Premier League,2016,15.2,13.0,Chadli,Spurs,79.0,82.0,2016.0,Nacer Chadli,Belgium,fallback_lastname_season,2.785011242238338,2.1999999999999993,0.15853658536585366,Top 1-15,15.1,11.5,24-26,Winger,England,False,True,False,True
Right Winger,19,Nottm Forest,Championship,RB Leipzig,1.Bundesliga,2016,15.2,0.25,Burke,Nottm Forest,71.0,71.0,2016.0,Oliver Burke,Scotland,fallback_lastname_season,2.785011242238338,14.95,0.0035211267605633804,Top 1-15,12.0,15.2,<20,Winger,Germany,False,False,False,True
Right Winger,19,Nottm Forest,Championship,RB Leipzig,1.Bundesliga,2016,15.2,0.25,Burke,Nottm Forest,60.0,78.0,2016.0,Oliver Burke,Scotland,fallback_lastname_season,2.785011242238338,14.95,0.003205128205128205,Top 1-15,12.0,15.2,<20,Winger,Germany,False,False,False,True
Left Midfield,25,Norwich,Championship,Burnley,Premier League,2016,15.1,8.0,Brady,Norwich,69.0,76.0,2016.0,Robbie Brady,Republic of Ireland,fallback_lastname_season,2.7788192719904172,7.1,0.10526315789473684,Top 16-30,15.1,12.100000000000001,24-26,Midfielder,England,False,False,False,True
Defensive Midfield,25,Olympiacos,Super League,Crystal Palace,Premier League,2016,15.1,8.0,Milivojevic,Olympiacos,73.0,77.0,2016.0,Luka Milivojevic,Serbia,fallback_lastname_season,2.7788192719904172,7.1,0.1038961038961039,Top 1-15,15.1,13.8,24-26,Midfielder,England,False,False,False,True
Defensive Midfield,25,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2016,15.0,12.0,Kramer,Bay. Leverkusen,79.0,84.0,2016.0,Christoph Kramer,Germany,fallback_lastname_season,2.772588722239781,3.0,0.14285714285714285,Top 1-15,12.0,12.25,24-26,Midfielder,Germany,True,True,False,True
Right-Back,23,LOSC Lille,Ligue 1,Monaco,Ligue 1,2016,15.0,4.0,Sidibe,LOSC Lille,75.0,80.0,2016.0,Djibril Sidibé,France,fallback_team_from,2.772588722239781,11.0,0.05,Top 1-15,10.0,11.0,20-23,Defender,France,True,False,True,True
Left Winger,20,Granada CF,LaLiga,Watford,Premier League,2016,15.0,3.0,Success,Granada CF,70.0,82.0,2016.0,Isaac Success,Nigeria,fallback_team_from,2.772588722239781,12.0,0.036585365853658534,Top 16-30,15.1,8.9,<20,Winger,England,False,False,True,True
Attacking Midfield,22,CF Pachuca,Liga MX Clausura,Chivas,Liga MX Clausura,2016,14.75,5.0,Pizarro,CF Pachuca,68.0,75.0,2016.0,Rodolfo Pizarro,Chile,fallback_lastname_season,2.7568403652716422,9.75,0.06666666666666667,Top 16-30,7.65,11.025,20-23,Midfielder,Mexico,False,False,False,False
Defensive Midfield,19,Bologna,Serie A,SSC Napoli,Serie A,2016,14.5,11.0,Diawara,Bologna,57.0,72.0,2016.0,Amadou Diawara,Guinea,fallback_team_from,2.740840023925201,3.5,0.1527777777777778,Top 31-45,11.0,13.0,<20,Midfielder,Italy,False,False,False,True
Defensive Midfield,25,Southampton,Premier League,Spurs,Premier League,2016,14.4,15.0,Wanyama,Southampton,77.0,81.0,2016.0,Victor Wanyama,Kenya,fallback_team_from,2.7343675094195836,-0.5999999999999996,0.18518518518518517,Outside Top 45,15.1,22.1,24-26,Midfielder,England,False,True,False,True
Forward,29,Fulham,Championship,Aston Villa,Championship,2016,14.3,8.0,McCormack,Fulham,74.0,74.0,2016.0,Ross McCormack,Scotland,fallback_team_from,2.72785282839839,6.300000000000001,0.10810810810810811,Top 1-15,9.13,10.25,27-29,Forward,England,False,False,False,True
Left Winger,23,VfB Stuttgart,2.Bundesliga,Hamburger SV,1.Bundesliga,2016,14.0,10.0,Kostic,VfB Stuttgart,77.0,83.0,2016.0,Filip Kostic,Serbia,fallback_team_from,2.70805020110221,4.0,0.12048192771084337,Top 1-15,12.0,10.25,20-23,Winger,Germany,False,True,False,True
Centre-Back,31,Swansea,Premier League,Everton,Premier League,2016,14.0,8.0,Williams,Swansea,81.0,81.0,2016.0,Ashley Williams,Wales,fallback_lastname_season,2.70805020110221,6.0,0.09876543209876543,Top 16-30,15.1,21.35,30+,Defender,England,False,True,True,True
Forward,20,VfB Stuttgart,2.Bundesliga,RB Leipzig,1.Bundesliga,2016,14.0,8.0,Werner,VfB Stuttgart,72.0,84.0,2016.0,Timo Werner,Germany,fallback_team_from,2.70805020110221,6.0,0.09523809523809523,Top 1-15,12.0,15.2,<20,Forward,Germany,True,False,False,True
Forward,23,West Brom,Premier League,Stoke City,Premier League,2016,13.9,15.0,Berahino,West Brom,76.0,85.0,2016.0,Saido Berahino,England,fallback_lastname_season,2.7013612129514133,-1.0999999999999996,0.17647058823529413,Top 1-15,15.1,9.6,20-23,Forward,England,True,True,False,True
Left-Back,24,Leicester,Premier League,Crystal Palace,Premier League,2016,13.8,8.0,Schlupp,Leicester,69.0,79.0,2016.0,Jeffrey Schlupp,Ghana,fallback_lastname_season,2.6946271807700692,5.800000000000001,0.10126582278481013,Top 16-30,15.1,13.8,20-23,Defender,England,False,False,False,True
Left Winger,25,Sampdoria,Serie A,Villarreal CF,LaLiga,2016,13.75,14.0,Soriano,Sampdoria,74.0,81.0,2016.0,Roberto Soriano,Italy,fallback_team_from,2.691243082785829,-0.25,0.1728395061728395,Top 1-15,13.75,11.0,24-26,Winger,Spain,False,False,True,True
Left Winger,19,KRC Genk,Jupiler Pro League,Bay. Leverkusen,1.Bundesliga,2016,13.5,12.5,Bailey,KRC Genk,62.0,81.0,2016.0,Leon Bailey,Jamaica,fallback_team_from,2.6741486494265287,1.0,0.15432098765432098,Outside Top 45,12.0,13.0,<20,Winger,Germany,False,False,False,True
Left Winger,22,Norwich,Championship,Southampton,Premier League,2016,13.5,7.5,Redmond,Norwich,74.0,82.0,2016.0,Nathan Redmond,England,fallback_lastname_season,2.6741486494265287,6.0,0.09146341463414634,Top 1-15,15.1,16.4,20-23,Winger,England,True,False,False,True
Attacking Midfield,25,Juventus,Serie A,Watford,Premier League,2016,13.0,16.0,Pereyra,Juventus,81.0,86.0,2016.0,Roberto Pereyra,Argentina,fallback_team_from,2.6390573296152584,-3.0,0.18604651162790697,Top 1-15,15.1,8.9,24-26,Midfielder,England,False,True,True,True
Left Winger,24,Sassuolo,Serie A,Villarreal CF,LaLiga,2016,13.0,12.0,Sansone,Sassuolo,75.0,81.0,2016.0,Nicola Sansone,Italy,fallback_team_from,2.6390573296152584,1.0,0.14814814814814814,Top 1-15,13.75,11.0,20-23,Winger,Spain,False,False,True,True
Goalkeeper,27,AFC Ajax,Eredivisie,FC Barcelona,LaLiga,2016,13.0,12.0,Cillessen,AFC Ajax,82.0,85.0,2016.0,Jasper Cillessen,Netherlands,fallback_lastname_season,2.6390573296152584,1.0,0.1411764705882353,Top 1-15,13.75,32.285,24-26,Goalkeeper,Spain,False,True,False,True
Left-Back,21,Marseille,Ligue 1,Monaco,Ligue 1,2016,13.0,6.5,Mendy,Marseille,76.0,80.0,2016.0,Benjamin Mendy,France,fallback_lastname_season,2.6390573296152584,6.5,0.08125,Top 1-15,10.0,11.0,20-23,Defender,France,True,True,True,True
Left-Back,22,1. FC Koln,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2016,13.0,4.5,Gerhardt,1. FC Koln,72.0,81.0,2016.0,,Germany,fallback_team_from,2.6390573296152584,8.5,0.05555555555555555,Top 1-15,12.0,11.75,20-23,Defender,Germany,True,False,True,True
Forward,26,Bristol City,Championship,Aston Villa,Championship,2016,12.9,2.5,Kodjia,Bristol City,71.0,75.0,2016.0,Jonathan Kodjia,France,fallback_team_from,2.631888840136646,10.4,0.03333333333333333,Top 1-15,9.13,10.25,24-26,Forward,England,False,False,False,True
Defensive Midfield,24,Sampdoria,Serie A,Spartak Moscow,Premier Liga,2016,12.5,11.0,Fernando,Sampdoria,76.0,82.0,2016.0,Fernando,Brazil,fallback_team_from,2.6026896854443837,1.5,0.13414634146341464,Top 1-15,8.0,8.0,20-23,Midfielder,Ukraine,False,True,False,True
Attacking Midfield,24,1.FSV Mainz 05,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2016,12.5,10.0,Malli,1.FSV Mainz 05,75.0,80.0,2016.0,Yunus Malli,Germany,fallback_lastname_season,2.6026896854443837,2.5,0.125,Top 1-15,12.0,11.75,20-23,Midfielder,Germany,True,False,True,True
